player,role,team,year,price
Prayas Ray Barman,All-Rounder,royal-challengers-bengaluru,2019,15000000
Himmat Singh,Batsman,royal-challengers-bengaluru,2019,6500000
Gurkeerat Singh Mann,All-Rounder,royal-challengers-bengaluru,2019,5000000
Heinrich Klaasen,Wicket Keeper,royal-challengers-bengaluru,2019,5000000
Devdutt Padikkal,Batsman,royal-challengers-bengaluru,2019,2000000
Milind Kumar,All-Rounder,royal-challengers-bengaluru,2019,2000000
Jonny Bairstow,Wicket Keeper,sunrisers-hyderabad,2019,22000000
Wriddhiman Saha,Wicket Keeper,sunrisers-hyderabad,2019,12000000
Martin Guptill,Batsman,sunrisers-hyderabad,2019,10000000
Piyush Chawla,Bowler,chennai-super-kings,2020,67500000
Sam Curran,All-Rounder,chennai-super-kings,2020,55000000
Josh Hazlewood,Bowler,chennai-super-kings,2020,20000000
R. Sai Kishore,Bowler,chennai-super-kings,2020,2000000
Shimron Hetmyer,Batsman,delhi-capitals,2020,77500000
Marcus Stoinis,All-Rounder,delhi-capitals,2020,48000000
Alex Carey,Wicket Keeper,delhi-capitals,2020,24000000
Jason Roy,Batsman,delhi-capitals,2020,15000000
Chris Woakes,All-Rounder,delhi-capitals,2020,15000000
Mohit Sharma,Bowler,delhi-capitals,2020,5000000
Tushar Deshpande,Bowler,delhi-capitals,2020,2000000
Lalit Yadav,All-Rounder,delhi-capitals,2020,2000000
Glenn Maxwell,All-Rounder,punjab-kings,2020,107500000
Sheldon Cottrell,Bowler,punjab-kings,2020,85000000
Chris Jordan,All-Rounder,punjab-kings,2020,30000000
Ravi Bishnoi,Bowler,punjab-kings,2020,20000000
Prabhsimran Singh,Wicket Keeper,punjab-kings,2020,5500000
Deepak Hooda,All-Rounder,punjab-kings,2020,5000000
James Neesham,All-Rounder,punjab-kings,2020,5000000
Tajinder Dhillon,All-Rounder,punjab-kings,2020,2000000
Ishan Porel,Bowler,punjab-kings,2020,2000000
Pat Cummins,All-Rounder,kolkata-knight-riders,2020,155000000
Eoin Morgan,Batsman,kolkata-knight-riders,2020,52500000
Varun Chakaravarthy,All-Rounder,kolkata-knight-riders,2020,40000000
Tom Banton,Batsman,kolkata-knight-riders,2020,10000000
Rahul Tripathi,Batsman,kolkata-knight-riders,2020,6000000
Chris Green,All-Rounder,kolkata-knight-riders,2020,2000000
Nikhil Shankar Naik,Wicket Keeper,kolkata-knight-riders,2020,2000000
Pravin Tambe,Bowler,kolkata-knight-riders,2020,2000000
M Siddharth,Bowler,kolkata-knight-riders,2020,2000000
Nathan Coulter-Nile,Bowler,mumbai-indians,2020,80000000
Chris Lynn,Batsman,mumbai-indians,2020,20000000
Saurabh Tiwary,Batsman,mumbai-indians,2020,5000000
Digvijay Deshmukh,All-Rounder,mumbai-indians,2020,2000000
Prince Balwant Rai Singh,All-Rounder,mumbai-indians,2020,2000000
Mohsin Khan,Bowler,mumbai-indians,2020,2000000
Robin Uthappa,Batsman,rajasthan-royals,2020,30000000
Jaydev Unadkat,Bowler,rajasthan-royals,2020,30000000
Yashasvi Jaiswal,All-Rounder,rajasthan-royals,2020,24000000
Kartik Tyagi,Bowler,rajasthan-royals,2020,13000000
Tom Curran,All-Rounder,rajasthan-royals,2020,10000000
Andrew Tye,Bowler,rajasthan-royals,2020,10000000
Anuj Rawat,Wicket Keeper,rajasthan-royals,2020,8000000
David Miller,Batsman,rajasthan-royals,2020,7500000
Oshane Thomas,Bowler,rajasthan-royals,2020,5000000
Anirudha Ashok Joshi,All-Rounder,rajasthan-royals,2020,2000000
Akash Singh,Bowler,rajasthan-royals,2020,2000000
Christopher Morris,All-Rounder,royal-challengers-bengaluru,2020,100000000
Aaron Finch,Batsman,royal-challengers-bengaluru,2020,44000000
Kane Richardson,Bowler,royal-challengers-bengaluru,2020,40000000
Dale Steyn,Bowler,royal-challengers-bengaluru,2020,20000000
Isuru Udana,All-Rounder,royal-challengers-bengaluru,2020,5000000
Shahbaz Ahamad,Wicket Keeper,royal-challengers-bengaluru,2020,2000000
Joshua Philippe,Wicket Keeper,royal-challengers-bengaluru,2020,2000000
Pavan Deshpande,All-Rounder,royal-challengers-bengaluru,2020,2000000
Mitchell Marsh,All-Rounder,sunrisers-hyderabad,2020,20000000
Priyam Garg,Batsman,sunrisers-hyderabad,2020,19000000
Virat Singh,Batsman,sunrisers-hyderabad,2020,19000000
Fabian Allen,All-Rounder,sunrisers-hyderabad,2020,5000000
Sandeep Bavanaka,All-Rounder,sunrisers-hyderabad,2020,2000000
Sanjay Yadav,All-Rounder,sunrisers-hyderabad,2020,2000000
Abdul Samad,All-Rounder,sunrisers-hyderabad,2020,2000000
Krishnappa Gowtham,All-Rounder,chennai-super-kings,2021,92500000
Moeen Ali,All-Rounder,chennai-super-kings,2021,70000000
Cheteshwar Pujara,Batsman,chennai-super-kings,2021,5000000
K.Bhagath Varma,All-Rounder,chennai-super-kings,2021,2000000
C Hari Nishaanth,Batsman,chennai-super-kings,2021,2000000
M. Harisankar Reddy,Bowler,chennai-super-kings,2021,2000000
Tom Curran,All-Rounder,delhi-capitals,2021,52500000
Steven Smith,Batsman,delhi-capitals,2021,22000000
Sam Billings,Wicket Keeper,delhi-capitals,2021,20000000
Umesh Yadav,Bowler,delhi-capitals,2021,10000000
Ripal Patel,All-Rounder,delhi-capitals,2021,2000000
Vishnu Vinod,Wicket Keeper,delhi-capitals,2021,2000000
Lukman Hussain Meriwala,Bowler,delhi-capitals,2021,2000000
M Siddharth,Bowler,delhi-capitals,2021,2000000
Shakib Al Hasan,All-Rounder,kolkata-knight-riders,2021,32000000
Harbhajan Singh,Bowler,kolkata-knight-riders,2021,20000000
Ben Cutting,All-Rounder,kolkata-knight-riders,2021,7500000
Karun Nair,Batsman,kolkata-knight-riders,2021,5000000
Pawan Negi,All-Rounder,kolkata-knight-riders,2021,5000000
Venkatesh Iyer,All-Rounder,kolkata-knight-riders,2021,2000000
Sheldon Jackson,Wicket Keeper,kolkata-knight-riders,2021,2000000
Vaibhav Arora,Bowler,kolkata-knight-riders,2021,2000000
Nathan Coulter-Nile,Bowler,mumbai-indians,2021,50000000
Adam Milne,Bowler,mumbai-indians,2021,32000000
Piyush Chawla,Bowler,mumbai-indians,2021,24000000
James Neesham,All-Rounder,mumbai-indians,2021,5000000
Yudhvir Charak,All-Rounder,mumbai-indians,2021,2000000
Marco Jansen,All-Rounder,mumbai-indians,2021,2000000
Arjun Tendulkar,All-Rounder,mumbai-indians,2021,2000000
Jhye Richardson,Bowler,punjab-kings,2021,140000000
Riley Meredith,Bowler,punjab-kings,2021,80000000
Shahrukh Khan,All-Rounder,punjab-kings,2021,52500000
Moises Henriques,All-Rounder,punjab-kings,2021,42000000
Dawid Malan,All-Rounder,punjab-kings,2021,15000000
Fabian Allen,All-Rounder,punjab-kings,2021,7500000
Jalaj Saxena,All-Rounder,punjab-kings,2021,3000000
Saurabh Kumar,All-Rounder,punjab-kings,2021,2000000
Utkarsh Singh,All-Rounder,punjab-kings,2021,2000000
Christopher Morris,All-Rounder,rajasthan-royals,2021,162500000
Shivam Dube,All-Rounder,rajasthan-royals,2021,44000000
Chetan Sakariya,Bowler,rajasthan-royals,2021,12000000
Mustafizur Rahman,Bowler,rajasthan-royals,2021,10000000
Liam Livingstone,All-Rounder,rajasthan-royals,2021,7500000
K.C Cariappa,Bowler,rajasthan-royals,2021,2000000
Akash Singh,Bowler,rajasthan-royals,2021,2000000
Kuldip Yadav,Bowler,rajasthan-royals,2021,2000000
Kyle Jamieson,All-Rounder,royal-challengers-bengaluru,2021,150000000
Glenn Maxwell,All-Rounder,royal-challengers-bengaluru,2021,142500000
Dan Christian,All-Rounder,royal-challengers-bengaluru,2021,48000000
Sachin Baby,Batsman,royal-challengers-bengaluru,2021,2000000
Rajat Patidar,Batsman,royal-challengers-bengaluru,2021,2000000
Mohammed Azharudeen,Wicket Keeper,royal-challengers-bengaluru,2021,2000000
Suyash Prabhudesai,All-Rounder,royal-challengers-bengaluru,2021,2000000
Kona Srikar Bharat,Wicket Keeper,royal-challengers-bengaluru,2021,2000000
Kedar Jadhav,All-Rounder,sunrisers-hyderabad,2021,20000000
Mujeeb Zadran,Bowler,sunrisers-hyderabad,2021,15000000
J Suchith,Bowler,sunrisers-hyderabad,2021,3000000
Robin Uthappa,Batsman,chennai-super-kings,2022,20000000
Dwayne Bravo,All-Rounder,chennai-super-kings,2022,44000000
Ambati Rayudu,Wicket Keeper,chennai-super-kings,2022,67500000
Deepak Chahar,Bowler,chennai-super-kings,2022,140000000
C.Hari Nishaanth,Batsman,chennai-super-kings,2022,2000000
N. Jagadeesan,Wicket Keeper,chennai-super-kings,2022,2000000
K.M. Asif,Bowler,chennai-super-kings,2022,2000000
Tushar Deshpande,Bowler,chennai-super-kings,2022,2000000
Shivam Dube,All-Rounder,chennai-super-kings,2022,40000000
Chris Jordan,All-Rounder,chennai-super-kings,2022,36000000
Maheesh Theekshana,Bowler,chennai-super-kings,2022,7000000
Rajvardhan Hangargekar,All-Rounder,chennai-super-kings,2022,15000000
Simarjeet Singh,Bowler,chennai-super-kings,2022,2000000
Devon Conway,Batsman,chennai-super-kings,2022,10000000
Dwaine Pretorius,All-Rounder,chennai-super-kings,2022,5000000
Mitchell Santner,All-Rounder,chennai-super-kings,2022,19000000
Adam Milne,Bowler,chennai-super-kings,2022,19000000
Subhranshu Senapati,Batsman,chennai-super-kings,2022,2000000
Mukesh Choudhary,Bowler,chennai-super-kings,2022,2000000
Prashant Solanki,Bowler,chennai-super-kings,2022,12000000
K.Bhagath Varma,All-Rounder,chennai-super-kings,2022,2000000
David Warner,Batsman,delhi-capitals,2022,62500000
Mitchell Marsh,All-Rounder,delhi-capitals,2022,65000000
Mustafizur Rahman,Bowler,delhi-capitals,2022,20000000
Shardul Thakur,Bowler,delhi-capitals,2022,107500000
Kuldeep Yadav,Bowler,delhi-capitals,2022,20000000
Ashwin Hebbar,Batsman,delhi-capitals,2022,2000000
Sarfaraz Khan,All-Rounder,delhi-capitals,2022,2000000
Kamlesh Nagarkoti,All-Rounder,delhi-capitals,2022,11000000
K.S. Bharat,Wicket Keeper,delhi-capitals,2022,20000000
Mandeep Singh,Batsman,delhi-capitals,2022,11000000
Syed Khaleel Ahmed,Bowler,delhi-capitals,2022,52500000
Lungisani Ngidi,Bowler,delhi-capitals,2022,5000000
Chetan Sakariya,Bowler,delhi-capitals,2022,42000000
Yash Dhull,All-Rounder,delhi-capitals,2022,5000000
Vicky Ostwal,All-Rounder,delhi-capitals,2022,2000000
Ripal Patel,All-Rounder,delhi-capitals,2022,2000000
Lalit Yadav,All-Rounder,delhi-capitals,2022,6500000
Rovman Powell,Batsman,delhi-capitals,2022,28000000
Tim Seifert,Wicket Keeper,delhi-capitals,2022,5000000
Pravin Dubey,All-Rounder,delhi-capitals,2022,5000000
Mohammad Shami,Bowler,gujarat-titans,2022,62500000
David Miller,Batsman,gujarat-titans,2022,30000000
Jason Roy,Batsman,gujarat-titans,2022,20000000
Wriddhiman Saha,Wicket Keeper,gujarat-titans,2022,19000000
Matthew Wade,Wicket Keeper,gujarat-titans,2022,24000000
Lockie Ferguson,Bowler,gujarat-titans,2022,100000000
Abhinav Sadarangani,Batsman,gujarat-titans,2022,26000000
Rahul Tewatia,All-Rounder,gujarat-titans,2022,90000000
Noor Ahmad,Bowler,gujarat-titans,2022,3000000
R. Sai Kishore,Bowler,gujarat-titans,2022,30000000
Dominic Drakes,All-Rounder,gujarat-titans,2022,11000000
Vijay Shankar,All-Rounder,gujarat-titans,2022,14000000
Jayant Yadav,All-Rounder,gujarat-titans,2022,17000000
Darshan Nalkande,All-Rounder,gujarat-titans,2022,2000000
Yash Dayal,Bowler,gujarat-titans,2022,32000000
B. Sai Sudharsan,All-Rounder,gujarat-titans,2022,2000000
Gurkeerat Singh,All-Rounder,gujarat-titans,2022,5000000
Alzarri Joseph,Bowler,gujarat-titans,2022,24000000
Varun Aaron,Bowler,gujarat-titans,2022,5000000
Pradeep Sangwan,All-Rounder,gujarat-titans,2022,2000000
Pat Cummins,All-Rounder,kolkata-knight-riders,2022,72500000
Shreyas Iyer,Batsman,kolkata-knight-riders,2022,122500000
Mohammad Nabi,All-Rounder,kolkata-knight-riders,2022,10000000
Nitish Rana,All-Rounder,kolkata-knight-riders,2022,80000000
Sam Billings,Wicket Keeper,kolkata-knight-riders,2022,20000000
Umesh Yadav,Bowler,kolkata-knight-riders,2022,20000000
Shivam Mavi,All-Rounder,kolkata-knight-riders,2022,72500000
Sheldon Jackson,Wicket Keeper,kolkata-knight-riders,2022,6000000
Ajinkya Rahane,Batsman,kolkata-knight-riders,2022,10000000
Rinku Singh,Batsman,kolkata-knight-riders,2022,5500000
Anukul Roy,All-Rounder,kolkata-knight-riders,2022,2000000
Alex Hales,Batsman,kolkata-knight-riders,2022,15000000
Rasikh Dar,Bowler,kolkata-knight-riders,2022,2000000
Tim Southee,Bowler,kolkata-knight-riders,2022,15000000
Baba Indrajith,Wicket Keeper,kolkata-knight-riders,2022,2000000
Chamika Karunaratne,All-Rounder,kolkata-knight-riders,2022,5000000
Abhijeet Tomar,Batsman,kolkata-knight-riders,2022,4000000
Aman Khan,All-Rounder,kolkata-knight-riders,2022,2000000
Ramesh Kumar,Batsman,kolkata-knight-riders,2022,2000000
Pratham Singh,Batsman,kolkata-knight-riders,2022,2000000
Ashok Sharma,Bowler,kolkata-knight-riders,2022,5500000
Quinton De Kock,Wicket Keeper,lucknow-super-giants,2022,67500000
Manish Pandey,Batsman,lucknow-super-giants,2022,46000000
Krunal Pandya,All-Rounder,lucknow-super-giants,2022,82500000
Mark Wood,Bowler,lucknow-super-giants,2022,75000000
Avesh Khan,Bowler,lucknow-super-giants,2022,100000000
Ankit Singh Rajpoot,Bowler,lucknow-super-giants,2022,5000000
K. Gowtham,All-Rounder,lucknow-super-giants,2022,9000000
Dushmanta Chameera,Bowler,lucknow-super-giants,2022,20000000
Shahbaz Nadeem,Bowler,lucknow-super-giants,2022,5000000
Manan Vohra,Batsman,lucknow-super-giants,2022,2000000
Evin Lewis,Batsman,lucknow-super-giants,2022,20000000
Mohsin Khan,Bowler,lucknow-super-giants,2022,2000000
Mayank Yadav,Bowler,lucknow-super-giants,2022,2000000
Ayush Badoni,All-Rounder,lucknow-super-giants,2022,2000000
Kyle Mayers,All-Rounder,lucknow-super-giants,2022,5000000
Karan Sharma,All-Rounder,lucknow-super-giants,2022,2000000
Jason Holder,All-Rounder,lucknow-super-giants,2022,87500000
Deepak Hooda,All-Rounder,lucknow-super-giants,2022,57500000
Ishan Kishan,Wicket Keeper,mumbai-indians,2022,152500000
Dewald Brevis,Batsman,mumbai-indians,2022,30000000
Anmolpreet Singh,Batsman,mumbai-indians,2022,2000000
Basil Thampi,Bowler,mumbai-indians,2022,3000000
Murugan Ashwin,Bowler,mumbai-indians,2022,16000000
Jaydev Unadkat,Bowler,mumbai-indians,2022,13000000
Mayank Markande,Bowler,mumbai-indians,2022,6500000
N. Tilak Varma,All-Rounder,mumbai-indians,2022,17000000
Sanjay Yadav,All-Rounder,mumbai-indians,2022,5000000
Jofra Archer,All-Rounder,mumbai-indians,2022,80000000
Daniel Sams,All-Rounder,mumbai-indians,2022,26000000
Tymal Mills,Bowler,mumbai-indians,2022,15000000
Tim David,All-Rounder,mumbai-indians,2022,82500000
Ramandeep Singh,All-Rounder,mumbai-indians,2022,2000000
Aryan Juyal,Wicket Keeper,mumbai-indians,2022,2000000
Fabian Allen,All-Rounder,mumbai-indians,2022,7500000
Riley Meredith,Bowler,mumbai-indians,2022,10000000
Rahul Buddhi,Batsman,mumbai-indians,2022,2000000
Hrithik Shokeen,All-Rounder,mumbai-indians,2022,2000000
Mohd. Arshad Khan,All-Rounder,mumbai-indians,2022,2000000
Arjun Tendulkar,All-Rounder,mumbai-indians,2022,3000000
Shikhar Dhawan,Batsman,punjab-kings,2022,82500000
Kagiso Rabada,Bowler,punjab-kings,2022,92500000
Jonny Bairstow,Wicket Keeper,punjab-kings,2022,67500000
Rahul Chahar,Bowler,punjab-kings,2022,52500000
Harpreet Brar,All-Rounder,punjab-kings,2022,38000000
Shahrukh Khan,All-Rounder,punjab-kings,2022,90000000
Jitesh Sharma,Wicket Keeper,punjab-kings,2022,2000000
Prabhsimran Singh,Wicket Keeper,punjab-kings,2022,6000000
Ishan Porel,Bowler,punjab-kings,2022,2500000
Liam Livingstone,All-Rounder,punjab-kings,2022,115000000
Odean Smith,All-Rounder,punjab-kings,2022,60000000
Sandeep Sharma,Bowler,punjab-kings,2022,5000000
Raj Angad Bawa,All-Rounder,punjab-kings,2022,20000000
Rishi Dhawan,All-Rounder,punjab-kings,2022,5500000
Nathan Ellis,Bowler,punjab-kings,2022,7500000
Prerak Mankad,All-Rounder,punjab-kings,2022,2000000
Atharva Taide,All-Rounder,punjab-kings,2022,2000000
Vaibhav Arora,Bowler,punjab-kings,2022,20000000
Bhanuka Rajapaksa,Batsman,punjab-kings,2022,5000000
Benny Howell,All-Rounder,punjab-kings,2022,4000000
Writtick Chatterjee,All-Rounder,punjab-kings,2022,2000000
Baltej Dhanda,Bowler,punjab-kings,2022,2000000
Ansh Patel,All-Rounder,punjab-kings,2022,2000000
R. Ashwin,All-Rounder,rajasthan-royals,2022,50000000
Trent Boult,Bowler,rajasthan-royals,2022,80000000
Shimron Hetmyer,Batsman,rajasthan-royals,2022,85000000
Devdutt Padikkal,Batsman,rajasthan-royals,2022,77500000
Prasidh Krishna,Bowler,rajasthan-royals,2022,100000000
Yuzvendra Chahal,Bowler,rajasthan-royals,2022,65000000
Riyan Parag,All-Rounder,rajasthan-royals,2022,38000000
K.C Cariappa,Bowler,rajasthan-royals,2022,3000000
James Neesham,All-Rounder,rajasthan-royals,2022,15000000
Nathan Coulter-Nile,Bowler,rajasthan-royals,2022,20000000
Navdeep Saini,Bowler,rajasthan-royals,2022,26000000
Kuldeep Sen,Bowler,rajasthan-royals,2022,2000000
Karun Nair,Batsman,rajasthan-royals,2022,14000000
Rassie Van Der Dussen,Batsman,rajasthan-royals,2022,10000000
Daryl Mitchell,All-Rounder,rajasthan-royals,2022,7500000
Obed Mccoy,Bowler,rajasthan-royals,2022,7500000
Dhruv Jurel,Wicket Keeper,rajasthan-royals,2022,2000000
Tejas Baroka,Bowler,rajasthan-royals,2022,2000000
Kuldip Yadav,Bowler,rajasthan-royals,2022,2000000
Shubham Garhwal,All-Rounder,rajasthan-royals,2022,2000000
Anunay Singh,All-Rounder,rajasthan-royals,2022,2000000
Faf Du Plessis,Batsman,royal-challengers-bengaluru,2022,70000000
Wanindu Hasaranga,All-Rounder,royal-challengers-bengaluru,2022,107500000
Harshal Patel,All-Rounder,royal-challengers-bengaluru,2022,107500000
Dinesh Karthik,Wicket Keeper,royal-challengers-bengaluru,2022,55000000
Josh Hazlewood,Bowler,royal-challengers-bengaluru,2022,77500000
Shahbaz Ahamad,All-Rounder,royal-challengers-bengaluru,2022,24000000
Anuj Rawat,Wicket Keeper,royal-challengers-bengaluru,2022,34000000
Akash Deep,Bowler,royal-challengers-bengaluru,2022,2000000
Karn Sharma,Bowler,royal-challengers-bengaluru,2022,5000000
Mahipal Lomror,All-Rounder,royal-challengers-bengaluru,2022,9500000
Finn Allen,Batsman,royal-challengers-bengaluru,2022,8000000
Sherfane Rutherford,All-Rounder,royal-challengers-bengaluru,2022,10000000
Jason Behrendorff,Bowler,royal-challengers-bengaluru,2022,7500000
Siddharth Kaul,Bowler,royal-challengers-bengaluru,2022,7500000
Suyash Prabhudessai,All-Rounder,royal-challengers-bengaluru,2022,3000000
Luvnith Sisodia,Wicket Keeper,royal-challengers-bengaluru,2022,2000000
Chama Milind,Bowler,royal-challengers-bengaluru,2022,2500000
Aneeshwar Gautam,All-Rounder,royal-challengers-bengaluru,2022,2000000
David Willey,All-Rounder,royal-challengers-bengaluru,2022,20000000
Washington Sundar,All-Rounder,sunrisers-hyderabad,2022,87500000
Nicholas Pooran,Wicket Keeper,sunrisers-hyderabad,2022,107500000
Bhuvneshwar Kumar,Bowler,sunrisers-hyderabad,2022,42000000
T. Natarajan,Bowler,sunrisers-hyderabad,2022,40000000
Priyam Garg,Batsman,sunrisers-hyderabad,2022,2000000
Rahul Tripathi,Batsman,sunrisers-hyderabad,2022,85000000
